Team,Floki's monsters,SenGOAT 2.0,Three & D 🏀🏀,Mello!,The Black Bamba,The Burger Kings,Trust the Process,Agami's Team H2H kp,SqueeZee's Boys,Ariel's Amazing Team,Otzma modi'in,The Big Fundamental,week
Otzma modi'in,4 : 5,5 : 4,6 : 3,8 : 1,5 : 3,4 : 5,5 : 4,5 : 3,5 : 4,7 : 2, ### ,4 : 5,15
Floki's monsters, ### ,3 : 6,5 : 4,6 : 2,4 : 4,4 : 5,5 : 4,7 : 2,7 : 2,7 : 2,5 : 4,4 : 4,15
Trust the Process,4 : 5,5 : 4,4 : 5,7 : 2,5 : 4,3 : 6, ### ,6 : 3,7 : 2,6 : 3,4 : 5,5 : 4,15
The Burger Kings,5 : 4,6 : 2,4 : 5,5 : 4,5 : 3, ### ,6 : 3,4 : 4,5 : 4,5 : 4,5 : 4,4 : 5,15
SenGOAT 2.0,6 : 3, ### ,4 : 5,7 : 2,5 : 4,2 : 6,4 : 5,4 : 5,6 : 3,7 : 2,4 : 5,4 : 5,15
Three & D 🏀🏀,4 : 5,5 : 4, ### ,5 : 4,5 : 4,5 : 4,5 : 4,5 : 4,6 : 3,4 : 5,3 : 6,2 : 7,15
Agami's Team H2H kp,2 : 7,5 : 4,4 : 5,6 : 3,4 : 4,4 : 4,3 : 6, ### ,5 : 4,5 : 4,3 : 5,4 : 5,15
The Black Bamba,4 : 4,4 : 5,4 : 5,6 : 3, ### ,3 : 5,4 : 5,4 : 4,4 : 5,5 : 3,3 : 5,2 : 6,15
SqueeZee's Boys,2 : 7,3 : 6,3 : 6,5 : 4,5 : 4,4 : 5,2 : 7,4 : 5, ### ,5 : 4,4 : 5,1 : 7,15
Ariel's Amazing Team,2 : 7,2 : 7,5 : 4,5 : 4,3 : 5,4 : 5,3 : 6,4 : 5,4 : 5, ### ,2 : 7,3 : 6,15
Mello!,2 : 6,2 : 7,4 : 5, ### ,3 : 6,4 : 5,2 : 7,3 : 6,4 : 5,4 : 5,1 : 8,3 : 6,15
Otzma modi'in,4 : 5,6 : 2,6 : 3,6 : 3,6 : 3,3 : 5,6 : 3,6 : 3,6 : 3,5 : 3, ### ,5 : 4,16
Trust the Process,5 : 4,4 : 5,5 : 4,7 : 2,6 : 3,5 : 4, ### ,7 : 2,7 : 2,6 : 3,3 : 6,5 : 4,16
The Burger Kings,4 : 5,5 : 4,7 : 2,7 : 2,5 : 4, ### ,4 : 5,6 : 3,6 : 3,4 : 4,5 : 3,6 : 3,16
Floki's monsters, ### ,5 : 4,5 : 4,4 : 5,5 : 4,5 : 4,4 : 5,6 : 3,7 : 2,5 : 4,5 : 4,4 : 5,16
SenGOAT 2.0,4 : 5, ### ,6 : 3,6 : 3,4 : 5,4 : 5,5 : 4,4 : 5,5 : 4,6 : 3,2 : 6,6 : 3,16
The Big Fundamental,5 : 4,3 : 6,5 : 3,4 : 5,5 : 4,3 : 6,4 : 5,5 : 4,6 : 3,5 : 4,4 : 5, ### ,16
The Black Bamba,4 : 5,5 : 4,5 : 3,4 : 5, ### ,4 : 5,3 : 6,4 : 5,5 : 4,6 : 3,3 : 6,4 : 5,16
Ariel's Amazing Team,4 : 5,3 : 6,6 : 3,5 : 3,3 : 6,4 : 4,3 : 6,5 : 4,4 : 5, ### ,3 : 5,4 : 5,16
Agami's Team H2H kp,3 : 6,5 : 4,5 : 4,5 : 3,5 : 4,3 : 6,2 : 7, ### ,5 : 4,4 : 5,3 : 6,4 : 5,16
Mello!,5 : 4,3 : 6,5 : 4, ### ,5 : 4,2 : 7,2 : 7,3 : 5,6 : 3,3 : 5,3 : 6,5 : 4,16
Three & D 🏀🏀,4 : 5,3 : 6, ### ,4 : 5,3 : 5,2 : 7,4 : 5,4 : 5,6 : 2,3 : 6,3 : 6,3 : 5,16
SqueeZee's Boys,2 : 7,4 : 5,2 : 6,3 : 6,4 : 5,3 : 6,2 : 7,4 : 5, ### ,5 : 4,3 : 6,3 : 6,16
The Black Bamba,6 : 3,6 : 3,8 : 1,3 : 6, ### ,6 : 3,6 : 3,6 : 2,9 : 0,8 : 1,7 : 2,7 : 2,17
Mello!,5 : 4,6 : 3,8 : 1, ### ,6 : 3,5 : 4,6 : 3,7 : 2,8 : 1,7 : 2,7 : 2,7 : 2,17
The Burger Kings,4 : 5,5 : 4,9 : 0,4 : 5,3 : 6, ### ,4 : 5,5 : 4,8 : 1,7 : 2,7 : 2,5 : 4,17
Floki's monsters, ### ,3 : 6,8 : 1,4 : 5,3 : 6,5 : 4,5 : 4,6 : 3,8 : 1,6 : 3,6 : 3,6 : 3,17
SenGOAT 2.0,6 : 3, ### ,7 : 2,3 : 6,3 : 6,4 : 5,4 : 5,4 : 4,7 : 2,6 : 3,7 : 2,5 : 4,17
Trust the Process,4 : 5,5 : 4,7 : 2,3 : 6,3 : 6,5 : 4, ### ,5 : 4,7 : 2,5 : 4,7 : 2,4 : 4,17
Agami's Team H2H kp,3 : 6,4 : 4,6 : 3,2 : 7,2 : 6,4 : 5,4 : 5, ### ,6 : 3,4 : 5,6 : 3,5 : 4,17
The Big Fundamental,3 : 6,4 : 5,7 : 2,2 : 7,2 : 7,4 : 5,4 : 4,4 : 5,7 : 2,3 : 6,5 : 4, ### ,17
Ariel's Amazing Team,3 : 6,3 : 6,6 : 3,2 : 7,1 : 8,2 : 7,4 : 5,5 : 4,6 : 3, ### ,6 : 3,6 : 3,17
Otzma modi'in,3 : 6,2 : 7,5 : 4,2 : 7,2 : 7,2 : 7,2 : 7,3 : 6,4 : 5,3 : 6, ### ,4 : 5,17
SqueeZee's Boys,1 : 8,2 : 7,6 : 2,1 : 8,0 : 9,1 : 8,2 : 7,3 : 6, ### ,3 : 6,5 : 4,2 : 7,17
Three & D 🏀🏀,1 : 8,2 : 7, ### ,1 : 8,1 : 8,0 : 9,2 : 7,3 : 6,2 : 6,3 : 6,4 : 5,2 : 7,17
Floki's monsters, ### ,6 : 3,7 : 2,4 : 5,8 : 1,6 : 3,7 : 2,8 : 1,6 : 2,6 : 2,6 : 3,7 : 2,18
The Burger Kings,3 : 6,5 : 4,8 : 1,7 : 2,7 : 2, ### ,5 : 4,7 : 2,5 : 4,8 : 1,4 : 5,5 : 3,18
Otzma modi'in,3 : 6,5 : 4,7 : 2,6 : 3,6 : 3,5 : 4,5 : 4,7 : 2,6 : 3,6 : 3, ### ,5 : 4,18
Mello!,5 : 4,6 : 3,8 : 1, ### ,8 : 1,2 : 7,5 : 4,7 : 2,6 : 3,6 : 3,3 : 6,3 : 6,18
The Big Fundamental,2 : 7,4 : 5,8 : 1,6 : 3,7 : 2,3 : 5,4 : 5,7 : 2,5 : 4,7 : 2,4 : 5, ### ,18
Trust the Process,2 : 7,7 : 2,6 : 3,4 : 5,6 : 3,4 : 5, ### ,6 : 3,5 : 4,6 : 3,4 : 5,5 : 4,18
SenGOAT 2.0,3 : 6, ### ,7 : 2,3 : 6,6 : 3,4 : 5,2 : 7,5 : 4,6 : 3,6 : 3,4 : 5,5 : 4,18
SqueeZee's Boys,2 : 6,3 : 6,6 : 3,3 : 6,4 : 5,4 : 5,4 : 5,5 : 4, ### ,5 : 4,3 : 6,4 : 5,18
Ariel's Amazing Team,2 : 6,3 : 6,7 : 1,3 : 6,6 : 3,1 : 8,3 : 6,5 : 4,4 : 5, ### ,3 : 6,2 : 7,18
The Black Bamba,1 : 8,3 : 6,7 : 2,1 : 8, ### ,2 : 7,3 : 6,6 : 3,5 : 4,3 : 6,3 : 6,2 : 7,18
Agami's Team H2H kp,1 : 8,4 : 5,5 : 3,2 : 7,3 : 6,2 : 7,3 : 6, ### ,4 : 5,4 : 5,2 : 7,2 : 7,18
Three & D 🏀🏀,2 : 7,2 : 7, ### ,1 : 8,2 : 7,1 : 8,3 : 6,3 : 5,3 : 6,1 : 7,2 : 7,1 : 8,18
SenGOAT 2.0,5 : 4, ### ,6 : 3,5 : 4,8 : 1,4 : 4,7 : 2,3 : 6,7 : 2,6 : 3,6 : 3,7 : 2,19
The Burger Kings,5 : 3,4 : 4,7 : 2,5 : 3,7 : 2, ### ,7 : 2,5 : 4,6 : 3,5 : 3,5 : 4,6 : 3,19
Mello!,4 : 5,4 : 5,7 : 2, ### ,7 : 2,3 : 5,7 : 2,4 : 5,6 : 3,6 : 3,5 : 4,6 : 3,19
Floki's monsters, ### ,4 : 5,6 : 3,5 : 4,7 : 2,3 : 5,7 : 2,4 : 5,6 : 3,5 : 3,5 : 4,6 : 3,19
Agami's Team H2H kp,5 : 4,6 : 3,5 : 4,5 : 4,7 : 2,4 : 5,6 : 3, ### ,5 : 4,6 : 3,4 : 4,5 : 4,19
Otzma modi'in,4 : 5,3 : 6,5 : 4,4 : 5,7 : 2,4 : 5,6 : 3,4 : 4,4 : 5,6 : 3, ### ,6 : 3,19
The Big Fundamental,3 : 6,2 : 7,4 : 5,3 : 6,8 : 1,3 : 6,7 : 2,4 : 5,4 : 4,5 : 4,3 : 6, ### ,19
Ariel's Amazing Team,3 : 5,3 : 6,5 : 4,3 : 6,6 : 3,3 : 5,7 : 2,3 : 6,5 : 3, ### ,3 : 6,4 : 5,19
SqueeZee's Boys,3 : 6,2 : 7,4 : 5,3 : 6,6 : 3,3 : 6,6 : 2,4 : 5, ### ,3 : 5,5 : 4,4 : 4,19
Three & D 🏀🏀,3 : 6,3 : 6, ### ,2 : 7,5 : 3,2 : 7,7 : 2,4 : 5,5 : 4,4 : 5,4 : 5,5 : 4,19
The Black Bamba,2 : 7,1 : 8,3 : 5,2 : 7, ### ,2 : 7,7 : 2,2 : 7,3 : 6,3 : 6,2 : 7,1 : 8,19
Trust the Process,2 : 7,2 : 7,2 : 7,2 : 7,2 : 7,2 : 7, ### ,3 : 6,2 : 6,2 : 7,3 : 6,2 : 7,19
The Burger Kings,5 : 3,7 : 2,,5 : 4,, ### ,6 : 3,6 : 2,,,7 : 2,5 : 4,20
Floki's monsters, ### ,5 : 4,,5 : 4,,3 : 5,6 : 3,6 : 2,,,6 : 3,5 : 4,20
The Big Fundamental,4 : 5,6 : 3,,4 : 4,,4 : 5,7 : 2,6 : 3,,,5 : 4, ### ,20
Mello!,4 : 5,6 : 3,, ### ,,4 : 5,6 : 3,6 : 3,,,5 : 3,4 : 4,20
Trust the Process,3 : 6,4 : 5,,3 : 6,,3 : 6, ### ,5 : 4,,,6 : 3,2 : 7,20
SenGOAT 2.0,4 : 5, ### ,,3 : 6,,2 : 7,5 : 4,5 : 4,,,3 : 5,3 : 6,20
Otzma modi'in,3 : 6,5 : 3,,3 : 5,,2 : 7,3 : 6,4 : 5,,, ### ,4 : 5,20
Agami's Team H2H kp,2 : 6,4 : 5,,3 : 6,,2 : 6,4 : 5, ### ,,,5 : 4,3 : 6,20
